Sample in Buffer,Sample in Window,TRIGGER,input_L[23:0],output_L[23:0],r_data_rx[23:0],r_data_filt[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
1065,1065,0,-5013605,-5947306,-5061782,-5759680,1
1066,1066,0,-5519587,-5947306,-5061782,-6004333,1
1067,1067,0,-5519587,-6324146,-5572181,-6004333,1
1068,1068,0,-4874172,-6324146,-5572181,-6384856,1
1069,1069,0,-4874172,-6269871,-4921368,-6384856,1
1070,1070,0,-3186923,-6269871,-4921368,-6330188,1
1071,1071,0,-3186923,-5745541,-3218082,-6330188,1
1072,1072,0,-2191902,-5745541,-3218082,-5800909,1
1073,1073,0,-2191902,-5307268,-2212969,-5800909,1
1074,1074,0,-2322769,-5307268,-2212969,-5358356,1
1075,1075,0,-2322769,-5163927,-2345150,-5358356,1
1076,1076,0,-1990411,-5163927,-2345150,-5213525,1
1077,1077,0,-1990411,-4831163,-2010026,-5213525,1
1078,1078,0,-319778,-4831163,-2010026,-4877647,1
1079,1079,0,-319778,-3972252,-323039,-4877647,1
1080,1080,0,1312584,-3972252,-323039,-4010647,1
1081,1081,0,1312584,-2992580,1324864,-4010647,1
1082,1082,0,1604812,-2992580,1324864,-3021587,1
1083,1083,0,1604812,-2367834,1620127,-3021587,1
1084,1084,0,1539636,-2367834,1620127,-2390779,1
1085,1085,0,1539636,-1856194,1554102,-2390779,1
1086,1086,0,2649640,-1856194,1554102,-1874246,1
1087,1087,0,2649640,-938322,2674663,-1874246,1
1088,1088,0,4389090,-938322,2674663,-947630,1
1089,1089,0,4389090,266556,4430460,-947630,1
1090,1090,0,5028478,266556,4430460,268845,1
1091,1091,0,5028478,1175636,5076415,268845,1
1092,1092,0,4590141,1175636,5076415,1186701,1
1093,1093,0,4590141,1708586,4634218,1186701,1
1094,1094,0,4788441,1708586,4634218,1724731,1
1095,1095,0,4788441,2395555,4834369,1724731,1
1096,1096,0,6076384,2395555,4834369,2418167,1
1097,1097,0,6076384,3440890,6133929,2418167,1
1098,1098,0,6852397,3440890,6133929,3473421,1
1099,1099,0,6852397,4345642,6918167,3473421,1
1100,1100,0,6200813,4345642,6918167,4386926,1
1101,1101,0,6200813,4735758,6260045,4386926,1
1102,1102,0,5419103,4735758,6260045,4780979,1
1103,1103,0,5419103,4977144,5470764,4780979,1
1104,1104,0,5835319,4977144,5470764,5024728,1
