Sample in Buffer,Sample in Window,TRIGGER,l_in[23:0],l_data_tx[23:0],r_in[23:0],r_data_tx[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
3511,3511,0,-1529261,-1761172,-1850703,-1775157,1
3512,3512,0,-1529261,-1784665,-1540734,-1775157,1
3513,3513,0,-2185844,-1784665,-1540734,-1799000,1
3514,3514,0,-2185844,-1772270,-2203476,-1799000,1
3515,3515,0,-2016939,-1772270,-2203476,-1786348,1
3516,3516,0,-2016939,-1958188,-2033588,-1786348,1
3517,3517,0,-2182256,-1958188,-2033588,-1973981,1
3518,3518,0,-2182256,-1891875,-2200566,-1973981,1
3519,3519,0,-1999651,-1891875,-2200566,-1907126,1
3520,3520,0,-1999651,-1978575,-2016077,-1907126,1
3521,3521,0,-2013172,-1978575,-2016077,-1994591,1
3522,3522,0,-2013172,-2096173,-2029362,-1994591,1
3523,3523,0,-2226078,-2096173,-2029362,-2113427,1
3524,3524,0,-2226078,-2053005,-2244420,-2113427,1
3525,3525,0,-1953712,-2053005,-2244420,-2069899,1
3526,3526,0,-1953712,-2105290,-1970048,-2069899,1
3527,3527,0,-1817512,-2105290,-1970048,-2122607,1
3528,3528,0,-1817512,-2048154,-1832222,-2122607,1
3529,3529,0,-2101593,-2048154,-1832222,-2064977,1
3530,3530,0,-2101593,-2002619,-2119141,-2064977,1
3531,3531,0,-1946728,-2002619,-2119141,-2019013,1
3532,3532,0,-1946728,-2024724,-1962306,-2019013,1
3533,3533,0,-1948526,-2024724,-1962306,-2041458,1
3534,3534,0,-1948526,-1954887,-1964593,-2041458,1
3535,3535,0,-2225697,-1954887,-1964593,-1970930,1
3536,3536,0,-2225697,-1953590,-2244085,-1970930,1
3537,3537,0,-2020565,-1953590,-2244085,-1969566,1
3538,3538,0,-2020565,-2055636,-2037583,-1969566,1
3539,3539,0,-1798342,-2055636,-2037583,-2072532,1
3540,3540,0,-1798342,-2035379,-1812833,-2072532,1
3541,3541,0,-2169773,-2035379,-1812833,-2052142,1
3542,3542,0,-2169773,-1998283,-2187820,-2052142,1
