Sample in Buffer,Sample in Window,TRIGGER,l_data_rx[23:0],r_data_rx[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,HEX
312,312,0,-1448253,-2318282,1
313,313,0,-1448253,-1462194,1
314,314,0,-581297,-1462194,1
315,315,0,-581297,-587124,1
316,316,0,301250,-587124,1
317,317,0,301250,303465,1
318,318,0,1180119,303465,1
319,319,0,1180119,1190465,1
320,320,0,2030025,1190465,1
321,321,0,2030025,2048732,1
322,322,0,2851147,2048732,1
323,323,0,2851147,2878054,1
324,324,0,3604047,2878054,1
325,325,0,3604047,3637533,1
326,326,0,4285580,3637533,1
327,327,0,4285580,4325366,1
328,328,0,4878607,4325366,1
329,329,0,4878607,4924041,1
330,330,0,5376763,4924041,1
331,331,0,5376763,5427535,1
332,332,0,5764640,5427535,1
333,333,0,5764640,5818945,1
334,334,0,6032868,5818945,1
335,335,0,6032868,6089688,1
336,336,0,6180620,6089688,1
337,337,0,6180620,6238987,1
338,338,0,6201151,6238987,1
339,339,0,6201151,6259791,1
340,340,0,6102443,6259791,1
341,341,0,6102443,6160270,1
342,342,0,5875490,6160270,1
343,343,0,5875490,5930862,1
344,344,0,5529440,5930862,1
345,345,0,5529440,5581661,1
346,346,0,5072332,5581661,1
347,347,0,5072332,5120347,1
348,348,0,4508956,5120347,1
349,349,0,4508956,4551831,1
350,350,0,3858283,4551831,1
351,351,0,3858283,3894879,1
352,352,0,3130628,3894879,1
353,353,0,3130628,3160041,1
354,354,0,2336377,3160041,1
355,355,0,2336377,2358982,1
356,356,0,1491373,2358982,1
357,357,0,1491373,1506116,1
358,358,0,622585,1506116,1
359,359,0,622585,628668,1
360,360,0,-258979,628668,1
361,361,0,-258979,-261584,1
362,362,0,-1139899,-261584,1
363,363,0,-1139899,-1150307,1
364,364,0,-1994179,-1150307,1
365,365,0,-1994179,-2012880,1
366,366,0,-2808389,-2012880,1
367,367,0,-2808389,-2835030,1
368,368,0,-3576087,-2835030,1
369,369,0,-3576087,-3609686,1
370,370,0,-4251259,-3609686,1
371,371,0,-4251259,-4291410,1
372,372,0,-4858044,-4291410,1
373,373,0,-4858044,-4903203,1
374,374,0,-5361516,-4903203,1
375,375,0,-5361516,-5412010,1
376,376,0,-5743090,-5412010,1
377,377,0,-5743090,-5797483,1
378,378,0,-6025675,-5797483,1
379,379,0,-6025675,-6082591,1
380,380,0,-6179151,-6082591,1
381,381,0,-6179151,-6237495,1
382,382,0,-6201632,-6237495,1
383,383,0,-6201632,-6260304,1
384,384,0,-6111436,-6260304,1
385,385,0,-6111436,-6169135,1
386,386,0,-5892178,-6169135,1
387,387,0,-5892178,-5948161,1
388,388,0,-5552703,-5948161,1
389,389,0,-5552703,-5605535,1
390,390,0,-5099017,-5605535,1
391,391,0,-5099017,-5147658,1
392,392,0,-4535383,-5147658,1
393,393,0,-4535383,-4578521,1
394,394,0,-3896723,-4578521,1
395,395,0,-3896723,-3933935,1
396,396,0,-3165396,-3933935,1
397,397,0,-3165396,-3195402,1
398,398,0,-2374114,-3195402,1
399,399,0,-2374114,-2397012,1
400,400,0,-1539329,-2397012,1
401,401,0,-1539329,-1554355,1
402,402,0,-663563,-1554355,1
403,403,0,-663563,-669945,1
404,404,0,217829,-669945,1
405,405,0,217829,219721,1
406,406,0,1089121,219721,1
407,407,0,1089121,1099003,1
408,408,0,1955978,1099003,1
409,409,0,1955978,1974309,1
410,410,0,2768859,1974309,1
411,411,0,2768859,2794665,1
412,412,0,3534679,2794665,1
413,413,0,3534679,3567700,1
414,414,0,4222755,3567700,1
415,415,0,4222755,4262235,1
416,416,0,4830246,4262235,1
417,417,0,4830246,4875692,1
418,418,0,5328036,4875692,1
419,419,0,5328036,5377859,1
420,420,0,5734213,5377859,1
421,421,0,5734213,5788195,1
422,422,0,6008732,5788195,1
423,423,0,6008732,6065367,1
424,424,0,6169378,6065367,1
425,425,0,6169378,6227647,1
426,426,0,6206576,6227647,1
427,427,0,6206576,6265157,1
428,428,0,6120173,6265157,1
429,429,0,6120173,6177505,1
430,430,0,5902319,6177505,1
431,431,0,5902319,5958284,1
432,432,0,5564315,5958284,1
433,433,0,5564315,5617312,1
434,434,0,5127313,5617312,1
435,435,0,5127313,5176203,1
436,436,0,4569079,5176203,1
437,437,0,4569079,4612362,1
438,438,0,3924458,4612362,1
439,439,0,3924458,3961988,1
440,440,0,3199464,3961988,1
441,441,0,3199464,3229827,1
442,442,0,2416330,3229827,1
443,443,0,2416330,2439263,1
444,444,0,1574760,2439263,1
445,445,0,1574760,1590007,1
446,446,0,706974,1590007,1
447,447,0,706974,714382,1
448,448,0,-174250,714382,1
449,449,0,-174250,-175885,1
450,450,0,-1055064,-175885,1
451,451,0,-1055064,-1064465,1
452,452,0,-1913994,-1064465,1
453,453,0,-1913994,-1931556,1
454,454,0,-2733550,-1931556,1
455,455,0,-2733550,-2759067,1
456,456,0,-3501374,-2759067,1
457,457,0,-3501374,-3533841,1
458,458,0,-4189889,-3533841,1
459,459,0,-4189889,-4229269,1
460,460,0,-4798433,-4229269,1
461,461,0,-4798433,-4843528,1
462,462,0,-5313534,-4843528,1
463,463,0,-5313534,-5363419,1
464,464,0,-5716218,-5363419,1
465,465,0,-5716218,-5770060,1
466,466,0,-6003243,-5770060,1
467,467,0,-6003243,-6059835,1
468,468,0,-6170462,-6059835,1
469,469,0,-6170462,-6228459,1
470,470,0,-6206885,-6228459,1
471,471,0,-6206885,-6265318,1
472,472,0,-6120299,-6265318,1
473,473,0,-6120299,-6178057,1
474,474,0,-5918938,-6178057,1
475,475,0,-5918938,-5975038,1
476,476,0,-5589128,-5975038,1
477,477,0,-5589128,-5642257,1
478,478,0,-5150360,-5642257,1
479,479,0,-5150360,-5199083,1
480,480,0,-4596406,-5199083,1
481,481,0,-4596406,-4640153,1
482,482,0,-3963158,-4640153,1
483,483,0,-3963158,-4000800,1
484,484,0,-3239400,-4000800,1
485,485,0,-3239400,-3270026,1
486,486,0,-2454289,-3270026,1
487,487,0,-2454289,-2477259,1
488,488,0,-1616681,-2477259,1
489,489,0,-1616681,-1632541,1
490,490,0,-752377,-1632541,1
491,491,0,-752377,-759532,1
492,492,0,129824,-759532,1
493,493,0,129824,130432,1
494,494,0,1012959,130432,1
495,495,0,1012959,1022227,1
496,496,0,1874210,1022227,1
497,497,0,1874210,1890792,1
498,498,0,2694049,1890792,1
499,499,0,2694049,2719123,1
500,500,0,3462749,2719123,1
501,501,0,3462749,3495194,1
502,502,0,4158095,3495194,1
503,503,0,4158095,4196891,1
504,504,0,4768420,4196891,1
505,505,0,4768420,4812988,1
506,506,0,5294408,4812988,1
507,507,0,5294408,5343419,1
508,508,0,5696957,5343419,1
509,509,0,5696957,5750748,1
510,510,0,5988827,5750748,1
511,511,0,5988827,6045138,1
512,512,0,6167633,6045138,1
513,513,0,6167633,6225748,1
514,514,0,6205088,6225748,1
515,515,0,6205088,6263807,1
516,516,0,6132740,6263807,1
517,517,0,6132740,6190767,1
518,518,0,5931049,6190767,1
519,519,0,5931049,5987451,1
520,520,0,5602394,5987451,1
521,521,0,5602394,5655578,1
522,522,0,5166619,5655578,1
523,523,0,5166619,5215516,1
524,524,0,4624193,5215516,1
525,525,0,4624193,4668010,1
526,526,0,3989386,4668010,1
527,527,0,3989386,4027697,1
528,528,0,3279097,4027697,1
529,529,0,3279097,3310360,1
530,530,0,2492967,3310360,1
531,531,0,2492967,2516320,1
532,532,0,1661901,2516320,1
533,533,0,1661901,1677259,1
534,534,0,789827,1677259,1
535,535,0,789827,797644,1
536,536,0,-88721,797644,1
537,537,0,-88721,-89667,1
538,538,0,-970755,-89667,1
539,539,0,-970755,-979804,1
540,540,0,-1831347,-979804,1
541,541,0,-1831347,-1849020,1
542,542,0,-2657649,-1849020,1
543,543,0,-2657649,-2682159,1
544,544,0,-3427559,-2682159,1
545,545,0,-3427559,-3460264,1
546,546,0,-4132068,-3460264,1
547,547,0,-4132068,-4171032,1
548,548,0,-4742977,-4171032,1
549,549,0,-4742977,-4787612,1
550,550,0,-5266721,-4787612,1
551,551,0,-5266721,-5316554,1
552,552,0,-5679106,-5316554,1
553,553,0,-5679106,-5732637,1
554,554,0,-5983287,-5732637,1
555,555,0,-5983287,-6039950,1
556,556,0,-6154695,-6039950,1
557,557,0,-6154695,-6213192,1
558,558,0,-6212211,-6213192,1
559,559,0,-6212211,-6271235,1
560,560,0,-6144078,-6271235,1
561,561,0,-6144078,-6202528,1
562,562,0,-5940589,-6202528,1
563,563,0,-5940589,-5997487,1
564,564,0,-5623207,-5997487,1
565,565,0,-5623207,-5676466,1
566,566,0,-5197200,-5676466,1
567,567,0,-5197200,-5246665,1
568,568,0,-4653862,-5246665,1
569,569,0,-4653862,-4698123,1
570,570,0,-4023329,-4698123,1
571,571,0,-4023329,-4061801,1
572,572,0,-3313482,-4061801,1
573,573,0,-3313482,-3344951,1
574,574,0,-2532209,-3344951,1
575,575,0,-2532209,-2556385,1
576,576,0,-1708275,-2556385,1
577,577,0,-1708275,-1724631,1
578,578,0,-832431,-1724631,1
579,579,0,-832431,-841065,1
580,580,0,46619,-841065,1
581,581,0,46619,46773,1
582,582,0,924383,46773,1
583,583,0,924383,932730,1
584,584,0,1791641,932730,1
585,585,0,1791641,1808374,1
586,586,0,2615798,1808374,1
587,587,0,2615798,2639840,1
588,588,0,3391685,2639840,1
589,589,0,3391685,3423952,1
590,590,0,4096414,3423952,1
591,591,0,4096414,4134753,1
592,592,0,4716110,4134753,1
593,593,0,4716110,4760501,1
594,594,0,5243310,4760501,1
595,595,0,5243310,5292237,1
596,596,0,5661951,5292237,1
597,597,0,5661951,5715370,1
598,598,0,5966809,5715370,1
599,599,0,5966809,6023145,1
600,600,0,6152883,6023145,1
601,601,0,6152883,6210757,1
602,602,0,6210586,6210757,1
603,603,0,6210586,6269209,1
604,604,0,6140015,6269209,1
605,605,0,6140015,6197763,1
606,606,0,5958776,6197763,1
607,607,0,5958776,6015051,1
608,608,0,5643953,6015051,1
609,609,0,5643953,5697511,1
610,610,0,5210797,5697511,1
611,611,0,5210797,5260083,1
612,612,0,4681114,5260083,1
613,613,0,4681114,4725606,1
614,614,0,4058844,4725606,1
615,615,0,4058844,4097104,1
616,616,0,3350457,4097104,1
617,617,0,3350457,3382366,1
618,618,0,2571765,3382366,1
619,619,0,2571765,2596528,1
620,620,0,1744545,2596528,1
621,621,0,1744545,1760958,1
622,622,0,874180,1760958,1
623,623,0,874180,882872,1
624,624,0,-462,882872,1
625,625,0,-462,-153,1
626,626,0,-890781,-153,1
627,627,0,-890781,-898828,1
628,628,0,-1748744,-898828,1
629,629,0,-1748744,-1764862,1
630,630,0,-2579805,-1764862,1
631,631,0,-2579805,-2604414,1
632,632,0,-3354632,-2604414,1
633,633,0,-3354632,-3385512,1
634,634,0,-4061615,-3385512,1
635,635,0,-4061615,-4099465,1
636,636,0,-4691714,-4099465,1
637,637,0,-4691714,-4735847,1
638,638,0,-5222004,-4735847,1
639,639,0,-5222004,-5271131,1
640,640,0,-5647931,-5271131,1
641,641,0,-5647931,-5701410,1
642,642,0,-5953478,-5701410,1
643,643,0,-5953478,-6009829,1
644,644,0,-6147627,-6009829,1
645,645,0,-6147627,-6205979,1
646,646,0,-6210725,-6205979,1
647,647,0,-6210725,-6269727,1
648,648,0,-6151155,-6269727,1
649,649,0,-6151155,-6209395,1
650,650,0,-5968952,-6209395,1
651,651,0,-5968952,-6026115,1
652,652,0,-5662761,-6026115,1
653,653,0,-5662761,-5716743,1
654,654,0,-5237614,-5716743,1
655,655,0,-5237614,-5287295,1
656,656,0,-4711590,-5287295,1
657,657,0,-4711590,-4756107,1
658,658,0,-4094748,-4756107,1
659,659,0,-4094748,-4133797,1
660,660,0,-3385801,-4133797,1
661,661,0,-3385801,-3418201,1
662,662,0,-2608964,-3418201,1
663,663,0,-2608964,-2634005,1
664,664,0,-1782803,-2634005,1
665,665,0,-1782803,-1800270,1
666,666,0,-922100,-1800270,1
667,667,0,-922100,-930850,1
668,668,0,-37389,-930850,1
669,669,0,-37389,-38346,1
670,670,0,843317,-38346,1
671,671,0,843317,850702,1
672,672,0,1710080,850702,1
673,673,0,1710080,1725786,1
674,674,0,2538573,1725786,1
675,675,0,2538573,2562610,1
676,676,0,3316889,2562610,1
677,677,0,3316889,3347939,1
678,678,0,4030158,3347939,1
679,679,0,4030158,4067959,1
680,680,0,4660027,4067959,1
681,681,0,4660027,4704215,1
682,682,0,5195546,4704215,1
683,683,0,5195546,5244840,1
684,684,0,5628322,5244840,1
685,685,0,5628322,5681979,1
686,686,0,5941634,5681979,1
687,687,0,5941634,5997898,1
688,688,0,6139987,5997898,1
689,689,0,6139987,6197819,1
690,690,0,6210508,6197819,1
691,691,0,6210508,6269439,1
692,692,0,6156826,6269439,1
693,693,0,6156826,6215164,1
694,694,0,5973837,6215164,1
695,695,0,5973837,6030505,1
696,696,0,5680135,6030505,1
697,697,0,5680135,5733726,1
698,698,0,5260042,5733726,1
699,699,0,5260042,5310178,1
700,700,0,4742296,5310178,1
701,701,0,4742296,4787504,1
702,702,0,4120239,4787504,1
703,703,0,4120239,4159686,1
704,704,0,3416136,4159686,1
705,705,0,3416136,3448769,1
706,706,0,2649742,3448769,1
707,707,0,2649742,2675205,1
708,708,0,1825162,2675205,1
709,709,0,1825162,1842954,1
710,710,0,963236,1842954,1
711,711,0,963236,972745,1
712,712,0,81480,972745,1
713,713,0,81480,82423,1
714,714,0,-802039,82423,1
715,715,0,-802039,-809151,1
716,716,0,-1665017,-809151,1
717,717,0,-1665017,-1680757,1
718,718,0,-2498883,-1680757,1
719,719,0,-2498883,-2522065,1
720,720,0,-3284011,-2522065,1
721,721,0,-3284011,-3315035,1
722,722,0,-4002698,-3315035,1
723,723,0,-4002698,-4040283,1
724,724,0,-4629652,-4040283,1
725,725,0,-4629652,-4673541,1
726,726,0,-5174143,-4673541,1
727,727,0,-5174143,-5223227,1
728,728,0,-5615495,-5223227,1
729,729,0,-5615495,-5668109,1
730,730,0,-5928700,-5668109,1
731,731,0,-5928700,-5984532,1
732,732,0,-6134148,-5984532,1
733,733,0,-6134148,-6191964,1
734,734,0,-6210143,-6191964,1
735,735,0,-6210143,-6268802,1
736,736,0,-6164305,-6268802,1
737,737,0,-6164305,-6222556,1
738,738,0,-5990620,-6222556,1
739,739,0,-5990620,-6046933,1
740,740,0,-5695395,-6046933,1
741,741,0,-5695395,-5749350,1
742,742,0,-5287091,-5749350,1
743,743,0,-5287091,-5337069,1
744,744,0,-4767677,-5337069,1
745,745,0,-4767677,-4812796,1
746,746,0,-4151285,-4812796,1
747,747,0,-4151285,-4190864,1
748,748,0,-3458609,-4190864,1
749,749,0,-3458609,-3491624,1
750,750,0,-2688463,-3491624,1
751,751,0,-2688463,-2714465,1
752,752,0,-1861463,-2714465,1
753,753,0,-1861463,-1879302,1
754,754,0,-1007691,-1879302,1
755,755,0,-1007691,-1017492,1
756,756,0,-125649,-1017492,1
757,757,0,-125649,-127094,1
758,758,0,757360,-127094,1
759,759,0,757360,764009,1
760,760,0,1626187,764009,1
761,761,0,1626187,1641025,1
762,762,0,2463625,1641025,1
763,763,0,2463625,2486443,1
764,764,0,3244517,2486443,1
765,765,0,3244517,3274898,1
766,766,0,3966057,3274898,1
767,767,0,3966057,4003997,1
768,768,0,4602828,4003997,1
769,769,0,4602828,4646323,1
770,770,0,5146882,4646323,1
771,771,0,5146882,5195404,1
772,772,0,5588903,5195404,1
773,773,0,5588903,5641519,1
774,774,0,5918420,5641519,1
775,775,0,5918420,5974538,1
776,776,0,6126837,5974538,1
777,777,0,6126837,6184731,1
778,778,0,6203755,6184731,1
779,779,0,6203755,6262773,1
780,780,0,6170036,6262773,1
781,781,0,6170036,6228426,1
782,782,0,5999379,6228426,1
783,783,0,5999379,6056258,1
784,784,0,5712606,6056258,1
785,785,0,5712606,5766749,1
786,786,0,5306703,5766749,1
787,787,0,5306703,5357389,1
788,788,0,4794954,5357389,1
789,789,0,4794954,4840412,1
790,790,0,4186541,4840412,1
791,791,0,4186541,4226489,1
792,792,0,3491369,4226489,1
793,793,0,3491369,3524924,1
794,794,0,2725894,3524924,1
795,795,0,2725894,2752229,1
796,796,0,1904147,2752229,1
797,797,0,1904147,1922261,1
798,798,0,1050912,1922261,1
799,799,0,1050912,1061193,1
800,800,0,167704,1061193,1
801,801,0,167704,169248,1
802,802,0,-719551,169248,1
803,803,0,-719551,-725899,1
804,804,0,-1582697,-725899,1
805,805,0,-1582697,-1597265,1
806,806,0,-2424243,-1597265,1
807,807,0,-2424243,-2446638,1
808,808,0,-3210277,-2446638,1
809,809,0,-3210277,-3240468,1
810,810,0,-3929221,-3240468,1
811,811,0,-3929221,-3966006,1
812,812,0,-4577358,-3966006,1
813,813,0,-4577358,-4620371,1
814,814,0,-5126818,-4620371,1
815,815,0,-5126818,-5175230,1
